16,323,219,219,197,241,247,185,261,190,188,184,220,206,198,180,214,170,186,176,221,186,181,198,221
256,14368,14619,15121,13803,15224,15375,15052,15155,16258,15361,16473,17615,16113,15091,14971,15741,16100,15540,15817,15177,14355,15519,14131,15164
4096,3500624,3519587,3433951,3347453,3358139,3344035,3532789,3395669,3350328,4506557,5193180,3277136,3513598,3757386,3746573,4594054,3393162,3509986,3469746,3563083,3475979,3315264,3388452,3422763
65536,885131846,854674417,857960436,852298956,856758480,850376936,849961599,858317980,864701809,854482712,851861326,853417450,847104323,849970656,865838685,854207516,854817488,855983751,851502364,849078270,865059315,862161426,853192325,860242941
1048576,222640881918,221932003979,222198245922,222314494544,220668927480,226253883875,223503744245,227312074605,224496757866,223117394485,224703525568,223759311095,223896592579,224453041273,225739006178,224608930652,225251049372,224126212022,224360842168,225544010930,224501757348,225196408274,224756134214,225903488001
