16,1625,1424,1408,1258,1212,1134,1245,1256,1302,1348,1466,1250,1439,1199,1300,1337,1295,1387,1274,1238,1274,1322,1326,1276
256,29777,30106,29113,33430,31768,36816,25297,34712,24548,26343,21936,24035,22415,26734,21848,23735,22073,26771,21893,25473,21938,26511,21647,23856
4096,665060,502789,551099,564917,515774,507735,502151,498029,978711,478471,447775,394111,453816,425083,443973,397296,431959,728167,410407,442205,412995,442791,425111,394537
65536,8447938,8129229,8036369,8449296,8185418,8256589,8751276,8744604,8851018,8788880,8696057,9121205,9061251,8888156,9108289,11408487,15063042,17608780,17763696,17735595,17344330,17718519,17324820,17614452
1048576,137737413,134375057,135311158,135123118,132651977,136147426,136920292,135199151,150113193,145229037,140764092,133368175,138802054,133080904,137351292,139194667,135876739,136245931,138006001,138090948,141517162,135981517,135673153,140334554
