16,303,377,238,274,238,213,236,218,252,225,270,345
256,28603,21803,27317,21070,28977,25239,33152,32809,31103,20790,29159,26023
4096,6134122,6782980,6845526,3423482,3552037,6776468,6990037,3429192,15701308,16877389,13183650,13079781
65536,981658404,984772005,935620765,943176065,887930931,885840306,883592807,1068492950,1060513300,1066911410,870868305,889676376
1048576,227974006359,241934664421,247695445205,296749331559,363096196419,363042769114,428545418312,428519332300,428597745256,428469864261,428495021732,233910806121
